,campaign_E,resistance_E,cycle_E,target_cycle
86,750.5717069277002,0.01031830298094749,0,normal
87,759.2651834789002,0.010316130748592247,0,normal
88,767.8835914029003,0.010334159946987442,0,normal
89,776.6013112529004,0.010145425949194731,0,normal
90,785.3279547820002,0.010064115269992896,0,normal
91,793.9690511270003,0.010092111941381206,0,normal
92,802.6969714785002,0.009920792506329278,0,normal
93,811.0693186162002,0.010268189706670098,0,normal
94,818.7663127532003,0.01081753757999517,0,normal
95,826.7780438617002,0.010424635481386862,0,normal
96,834.8753203217002,0.010346222771798507,0,normal
97,842.9597107715003,0.010394485892882485,0,normal
98,851.0026131565002,0.010480040744271696,0,normal
99,859.1074857435002,0.010431601094335627,0,normal
100,867.1817693876402,0.010502931533938269,0,normal
101,875.2812008186402,0.01050203394826419,0,normal
102,883.4057796866402,0.010501142371334048,0,normal
103,891.5307900486403,0.010532196921153909,0,normal
104,899.6515845976404,0.010569293638954244,0,normal
105,907.7381311846405,0.01064581948484606,0,normal
106,915.8202303846404,0.010676191766985489,0,normal
107,923.8978821976405,0.010682554229575333,0,normal
108,931.9710866236404,0.010688923702103713,0,normal
109,940.0437212776404,0.010690162704965143,0,normal
110,948.1157220186404,0.010691486940982183,0,normal
111,956.2099275741604,0.010662640393675477,0,normal
112,964.3263372111604,0.010633952643117438,0,normal
113,972.4297403861602,0.010651503627425028,0,normal
114,980.4937976391602,0.010703959335344267,0,normal
115,988.5297819591602,0.010741839465784324,0,normal
116,996.6074879171604,0.010686841750844528,0,normal
117,1004.6667612511604,0.010711769449461384,0,normal
